iteration,x,fx,error,text
1,1.5,-0.125,0.5,
2,1.75,1.609375,0.25,
3,1.625,0.666015625,0.125,
4,1.5625,0.252197265625,0.0625,
5,1.53125,0.059112548828125,0.03125,
6,1.515625,-0.034053802490234375,0.015625,
7,1.5234375,0.012250423431396484,0.0078125,
8,1.51953125,-0.010971248149871826,0.00390625,
9,1.521484375,0.0006221756339073181,0.001953125,
10,1.5205078125,-0.005178886465728283,0.0009765625,
11,1.52099609375,-0.002279443317092955,0.00048828125,
12,1.521240234375,-0.0008289058605441824,0.000244140625,
13,1.5213623046875,-0.0001034331235132413,0.0001220703125,
14,1.52142333984375,0.0002593542519662151,6.103515625e-05,
15,1.521392822265625,7.795631350404619e-05,3.0517578125e-05,
16,1.5213775634765625,-1.2739467674549587e-05,1.52587890625e-05,
17,1.5213851928710938,3.260815724592803e-05,7.62939453125e-06,
18,1.5213813781738281,9.934278368817218e-06,3.814697265625e-06,
19,1.5213794708251953,-1.4026112571396965e-06,1.9073486328125e-06,
20,1.5213804244995117,4.265829404825894e-06,9.5367431640625e-07,
21,1.5213799476623535,1.4316080361176375e-06,4.76837158203125e-07,
22,1.5213797092437744,1.4498129807805071e-08,2.384185791015625e-07,
23,1.5213795900344849,-6.94056628391948e-07,1.1920928955078125e-07,
24,1.5213796496391296,-3.3977926539030534e-07,5.960464477539063e-08,
25,1.521379679441452,-1.6264057189907533e-07,2.9802322387695312e-08,
26,1.5213796943426132,-7.407122226688045e-08,1.4901161193847656e-08,
27,1.5213797017931938,-2.9786546340559994e-08,7.450580596923828e-09,
28,1.5213797055184841,-7.644208155355159e-09,3.725290298461914e-09,
29,1.5213797073811293,3.4269609372472587e-09,1.862645149230957e-09,
30,1.5213797064498067,-2.1086237200762525e-09,9.313225746154785e-10,
31,1.521379706915468,6.591687196078055e-10,4.656612873077393e-10,
32,1.5213797066826373,-7.247278333011309e-10,2.3283064365386963e-10,
33,1.5213797067990527,-3.27797788912676e-11,1.1641532182693481e-10,
